HS코드,품목명,CAGR,RCA_변화율,점유율_변화율,TSC,수출단가_변화율
70,유리와 유리제품,0.3191435072362746,0.38428534292960204,0.16074238136845218,0.46352990504415015,0.23245749644750693
71,"천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을 입힌 금속과 이들의 제품, 모조 신변장식용품, 주화",0.3392107609343088,0.4058671414268701,0.17459922428183247,0.47693043690068787,0.541262898120576
72,철강,0.40022422736827945,0.46991022650085496,0.2199426936345602,0.6737376496161225,0.3058878630535815
73,철강의 제품,0.3982351555348761,0.46785861217772795,0.21838580347538206,0.5800060534593932,0.27789586201501526
74,구리와 그 제품,0.37874600480208,0.447629520115557,0.20341607324749383,0.463874857977019,0.3092136604861394
75,니켈과 그 제품,0.5165081283435661,0.5858864881927341,0.3208332396486985,0.14886639252191475,0.3010564452887152
76,알루미늄과 그 제품,0.4437901917566162,0.5142582168976512,0.2554279124151988,0.38260333223450316,0.30335533500453066
78,납과 그 제품,0.34095540907562916,0.40773105751531086,0.17582806489644745,0.6983290657594906,0.26206816573303404
79,아연과 그 제품,0.2785100174107365,0.33976009848008837,0.13420863050887347,0.9518860433973753,0.28631581134874245
80,주석과 그 제품,0.5099806938438572,0.5795742847000369,0.31463350831151,0.13586636440762007,0.36330551235214315
81,"그 밖의 비금속(卑金屬), 서멧(cermet), 이들의 제품",0.5239795903788823,0.5930839980863005,0.32801154868184335,0.22169554309641964,0.13401993486480512
82,"비금속(卑金屬)으로 만든 공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크, 이들의 부분품",0.2605522413298148,0.3197188054850812,0.12311167212218714,0.6967697126217394,0.30320469689107366
83,비금속(卑金屬)으로 만든 각종 제품,0.4031988660116067,0.47297395476118187,0.2222811526656564,0.6816619611784056,0.24990959760406814
84,원자로ㆍ보일러ㆍ기계류와 이들의 부분품,0.3755768227041325,0.44431799138162165,0.20103020238033664,0.5811249724395814,0.2894714986308104
85,"전기기기와 그 부분품, 녹음기ㆍ음성 재생기ㆍ텔레비전의 영상과 음성의 기록기ㆍ재생기와 이들의 부분품ㆍ부속품",0.4260796152594555,0.49636390455333623,0.24067930421834488,0.6705565550328645,0.2765541595780513
86,"철도용이나 궤도용 기관차ㆍ차량과 이들의 부분품, 철도용이나 궤도용 장비품과 그 부분품, 기계식(전기기계식을 포함한다) 각종 교통신호용 기기",0.37719753009777485,0.4460122703473821,0.20224865002645798,0.6979783632960719,0.31322796886887294
87,철도용이나 궤도용 외의 차량과 그 부분품ㆍ부속품,0.5339336255688696,0.6026276901443056,0.3377121075873429,0.8755551483319399,0.28335002799284603
88,"항공기와 우주선, 이들의 부분품",0.3907273693472648,0.46009320309539165,0.21255804231696596,0.3327171735592823,0.18246618903340006
89,선박과 수상 구조물,0.4093758785014033,0.47931903362731365,0.22717610679858044,0.9419091517525879,0.24808632496969374
90,"광학기기ㆍ사진용 기기ㆍ영화용 기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용 기기, 이들의 부분품과 부속품",0.2387869624282432,0.2951192558298529,0.1101619450587083,0.448766170908023,0.31415090878274016
91,시계와 그 부분품,0.5998701122912977,0.6645757435143167,0.406045112397288,0.12638238177280892,0.5594440686918691
92,악기와 그 부분품과 부속품,0.27101893398104937,0.33142751732073306,0.12953356507886044,0.3695282729368202,0.6963577245484374
93,무기ㆍ총포탄과 이들의 부분품과 부속품,0.8360251173948986,0.8701506368301244,0.7156151399248327,0.9750685297629418,0.5073204202177324
94,"가구, 침구ㆍ매트리스ㆍ매트리스 서포트(mattress support)ㆍ쿠션과 이와 유사한 물품, 다른 류로 분류되지 않은 조명기구, 조명용 사인ㆍ조명용 네임플레이트(name-plate)와 이와 유사한 물품, 조립식 건축물",0.2912111112743535,0.3537986920841364,0.14228749650818048,0.2704151875739449,0.24411689465597708
95,완구ㆍ게임용구ㆍ운동용구와 이들의 부분품과 부속품,0.47821761161136994,0.5485322346629107,0.28540211717832187,0.19502976791695792,0.29014732692987943
96,잡품,0.26098281751038443,0.3202020102434987,0.12337333938440662,0.3081674190708821,0.29317761151970784
97,예술품ㆍ수집품ㆍ골동품,1.0,1.0000000000000002,1.0,0.4246365880817933,0.5282259296127413
